sequenceID	designation	serotype	genotype	major_lineage	minor_lineage	minor_sublineage	minor_subsublineage	outgroup
OM833055.1_2020-02-18	1V_E.2	1	1V	1V_E	1V_E.2	1V_E.2		
OQ821340.1_2021-11-16	1V_E.2	1	1V	1V_E	1V_E.2	1V_E.2		
OQ445884.1_2022-10-01	1V_E.2	1	1V	1V_E	1V_E.2	1V_E.2		
OM833059.1_2013-07-24	1V_E.3	1	1V	1V_E	1V_E.3	1V_E.3		
KJ189363.1_2010	1V_E.3	1	1V	1V_E	1V_E.3	1V_E.3		
KJ189366.1_2010	1V_E.3	1	1V	1V_E	1V_E.3	1V_E.3		
KJ189362.1_2010	1V_E.3	1	1V	1V_E	1V_E.3	1V_E.3		
KJ189354.1_2012	1V_E.3	1	1V	1V_E	1V_E.3	1V_E.3		
OQ603259.1_2013-06-01	1V_D.1	1	1V	1V_D	1V_D.1	1V_D.1		
MN449016.1_2015-04-08	1V_D.1	1	1V	1V_D	1V_D.1	1V_D.1		
GQ868570.1_2008	1V_D.1	1	1V	1V_D	1V_D.1	1V_D.1		
OQ821348.1_2022-08-28	1V_D.1	1	1V	1V_D	1V_D.1	1V_D.1		
OR167130.1_2023-03-03	1V_D.1	1	1V	1V_D	1V_D.1	1V_D.1		
OQ821367.1_2022-12-07	1V_D.1	1	1V	1V_D	1V_D.1	1V_D.1		
MT899083.1_2019-09-29	1V_D.1	1	1V	1V_D	1V_D.1	1V_D.1		
ON123575.1_2021-08-03	1V_D.1	1	1V	1V_D	1V_D.1	1V_D.1		
OQ821349.1_2022-09-01	1V_D.1.1	1	1V	1V_D	1V_D.1	1V_D.1		
OQ821348.1_2022-08-28	1V_D.1.1	1	1V	1V_D	1V_D.1	1V_D.1		
ON123574.1_2021-07-07	1V_D.1.1	1	1V	1V_D	1V_D.1	1V_D.1		
ON632040.1_2022-04-12	1V_D.1.1	1	1V	1V_D	1V_D.1	1V_D.1		
OR167130.1_2023-03-03	1V_D.1.1	1	1V	1V_D	1V_D.1	1V_D.1		
MN449014.1_2015-04-20	1V_D.1.2	1	1V	1V_D	1V_D.1	1V_D.1		
OQ603263.1_2016-06-24	1V_D.1.2	1	1V	1V_D	1V_D.1	1V_D.1		
MN556095.1_2017-04	1V_D.1.2	1	1V	1V_D	1V_D.1	1V_D.1		
OQ821367.1_2022-12-07	1V_D.1.2	1	1V	1V_D	1V_D.1	1V_D.1		
ON123586.1_2021-05-07	1V_D.1.2	1	1V	1V_D	1V_D.1	1V_D.1		
ON123575.1_2021-08-03	1V_D.1.2	1	1V	1V_D	1V_D.1	1V_D.1		
OR654272.1_2023-05-20	1V_D.2	1	1V	1V_D	1V_D.2	1V_D.2		
OQ821326.1_2020-03-15	1V_D.2	1	1V	1V_D	1V_D.2	1V_D.2		
ON426300.1_2021-03-26	1V_D.2	1	1V	1V_D	1V_D.2	1V_D.2		
OQ603261.1_2015-10-09	1V_D.2	1	1V	1V_D	1V_D.2	1V_D.2		
ON123596.1_2021-08-20	1V_D.2	1	1V	1V_D	1V_D.2	1V_D.2		
OR025607.1_2023-03-29	1V_D.2	1	1V	1V_D	1V_D.2	1V_D.2		
OR025611.1_2023-04-08	1V_D.2	1	1V	1V_D	1V_D.2	1V_D.2		
KY586586.1_2006	2V_A.1	2	2V	2V_A	2V_A.1	2V_A.1		
GU131924.1_2008	2V_A.1	2	2V	2V_A	2V_A.1	2V_A.1		
MN448918.1_2011-09-21	2V_A.1	2	2V	2V_A	2V_A.1	2V_A.1		
GQ868624.1_2007	2V_A.1	2	2V	2V_A	2V_A.1	2V_A.1		
GU131898.1_2008	2V_A.1	2	2V	2V_A	2V_A.1	2V_A.1		
JF730046.1_2008	2V_A.1	2	2V	2V_A	2V_A.1	2V_A.1		
LC410185.1_2016-11	2V_A.1	2	2V	2V_A	2V_A.1	2V_A.1		
PP269872.1_2013-11-14	2V_A.1	2	2V	2V_A	2V_A.1	2V_A.1		
OQ426940.1_2018-10-29	2V_A.1	2	2V	2V_A	2V_A.1	2V_A.1		
MW946557.1_2010	2V_A.1	2	2V	2V_A	2V_A.1	2V_A.1		
PP269863.1_2014-09-22	2V_A.1.1	2	2V	2V_A	2V_A.1	2V_A.1		
OQ028221.1_2019-11-13	2V_A.1.1	2	2V	2V_A	2V_A.1	2V_A.1		
MN018366.1_2015-12-30	2V_A.1.1	2	2V	2V_A	2V_A.1	2V_A.1		
OP684189.1_2018-09-30	2V_A.1.1	2	2V	2V_A	2V_A.1	2V_A.1		
OQ028228.1_2019-06-26	2V_A.1.1	2	2V	2V_A	2V_A.1	2V_A.1		
OQ028222.1_2019-06-25	2V_A.1.1	2	2V	2V_A	2V_A.1	2V_A.1		
MN923115.1_2019-05-31	2V_A.1.2	2	2V	2V_A	2V_A.1	2V_A.1		
OP684188.1_2018-09-20	2V_A.1.2	2	2V	2V_A	2V_A.1	2V_A.1		
OL414734.1_2020-06	2V_A.1.2	2	2V	2V_A	2V_A.1	2V_A.1		
OL414761.1_2019-08	2V_A.1.2	2	2V	2V_A	2V_A.1	2V_A.1		
MN923122.1_2019-09-01	2V_A.1.2	2	2V	2V_A	2V_A.1	2V_A.1		
MN448732.1_2012-08-29	2V_A.1.3	2	2V	2V_A	2V_A.1	2V_A.1		
MN448700.1_2012-11-20	2V_A.1.3	2	2V	2V_A	2V_A.1	2V_A.1		
MN448699.1_2012-11-13	2V_A.1.3	2	2V	2V_A	2V_A.1	2V_A.1		
MN448706.1_2012-11-01	2V_A.1.3	2	2V	2V_A	2V_A.1	2V_A.1		
MN448727.1_2012-10-11	2V_A.1.3	2	2V	2V_A	2V_A.1	2V_A.1		
KY849765.1_2009-11-06	2V_A.3	2	2V	2V_A	2V_A.3	2V_A.3		
MN448920.1_2011	2V_A.3	2	2V	2V_A	2V_A.3	2V_A.3		
MW946554.1_2011	2V_A.3	2	2V	2V_A	2V_A.3	2V_A.3		
KY586595.1_2004	2V_A.3	2	2V	2V_A	2V_A.3	2V_A.3		
KY849768.1_2010-08-13	2V_A.3	2	2V	2V_A	2V_A.3	2V_A.3		
MW946510.1_2011	2V_A.3	2	2V	2V_A	2V_A.3	2V_A.3		
MF459663.3_2013-09-09	2V_A.2	2	2V	2V_A	2V_A.2	2V_A.2		
MW788985.1_2019-09	2V_A.2	2	2V	2V_A	2V_A.2	2V_A.2		
MW788987.1_2019-06	2V_A.2	2	2V	2V_A	2V_A.2	2V_A.2		
MZ636801.1_2019-11-19	2V_A.2	2	2V	2V_A	2V_A.2	2V_A.2		
MN923120.1_2019-10-02	2V_A.2	2	2V	2V_A	2V_A.2	2V_A.2		
MZ453007.1_2019	2V_A.2	2	2V	2V_A	2V_A.2	2V_A.2		
MN448904.1_2010-09-15	2V_A.4	2	2V	2V_A	2V_A.4	2V_A.4		
MW946367.1_2010	2V_A.4	2	2V	2V_A	2V_A.4	2V_A.4		
MN448874.1_2011-09-20	2V_A.4	2	2V	2V_A	2V_A.4	2V_A.4		
MN448883.1_2011-09-23	2V_A.4	2	2V	2V_A	2V_A.4	2V_A.4		
MW946602.1_2011	2V_A.4	2	2V	2V_A	2V_A.4	2V_A.4		
OQ740552.1_2022-04-13	2III_C.1	2	2III	2III_C	2III_C.1	2III_C.1		
OQ740551.1_2022-04-08	2III_C.1	2	2III	2III_C	2III_C.1	2III_C.1		
ON634741.1_2022-04-25	2III_C.1	2	2III	2III_C	2III_C.1	2III_C.1		
ON634752.1_2022-03-17	2III_C.1	2	2III	2III_C	2III_C.1	2III_C.1		
ON634744.1_2022-03-11	2III_C.1	2	2III	2III_C	2III_C.1	2III_C.1		
MK517773.1_2017-03-28	2III_C.1.1	2	2III	2III_C	2III_C.1	2III_C.1		
ON634741.1_2022-04-25	2III_C.1.1	2	2III	2III_C	2III_C.1	2III_C.1		
OQ101603.1_2019-07-04	2III_C.1.1	2	2III	2III_C	2III_C.1	2III_C.1		
ON634752.1_2022-03-17	2III_C.1.1	2	2III	2III_C	2III_C.1	2III_C.1		
ON634744.1_2022-03-11	2III_C.1.1	2	2III	2III_C	2III_C.1	2III_C.1		
MT929716.1_2016-03-14	2III_C.1.1	2	2III	2III_C	2III_C.1	2III_C.1		
OQ567847.1_2021-04-14	2III_C.1.1	2	2III	2III_C	2III_C.1	2III_C.1		
MT929701.1_2019-02-07	2III_C.1.1	2	2III	2III_C	2III_C.1	2III_C.1		
MT929713.1_2019-03-27	2III_C.1.1	2	2III	2III_C	2III_C.1	2III_C.1		
MT929740.1_2019-02-23	2III_C.1.1	2	2III	2III_C	2III_C.1	2III_C.1		
MT929711.1_2019-03-26	2III_C.1.1	2	2III	2III_C	2III_C.1	2III_C.1		
MW577818.1_2019-05-08	2III_C.1.1	2	2III	2III_C	2III_C.1	2III_C.1		
ON123823.1_2019-05-09	2III_C.1.1	2	2III	2III_C	2III_C.1	2III_C.1		
MT929617.1_2019-03-06	2III_C.1.1	2	2III	2III_C	2III_C.1	2III_C.1		
ON634701.1_2021-05-28	2III_C.1.1	2	2III	2III_C	2III_C.1	2III_C.1		
OR258575.1_2021-06-10	2III_C.1.1	2	2III	2III_C	2III_C.1	2III_C.1		
MT929587.1_2019-01-21	2III_C.1.1	2	2III	2III_C	2III_C.1	2III_C.1		
OQ740552.1_2022-04-13	2III_C.1.2	2	2III	2III_C	2III_C.1	2III_C.1		
OQ740551.1_2022-04-08	2III_C.1.2	2	2III	2III_C	2III_C.1	2III_C.1		
OQ740553.1_2022-05-11	2III_C.1.2	2	2III	2III_C	2III_C.1	2III_C.1		
OQ821475.1_2015-10-28	2III_C.1.2	2	2III	2III_C	2III_C.1	2III_C.1		
OQ740547.1_2022-03-31	2III_C.1.2	2	2III	2III_C	2III_C.1	2III_C.1		
OQ821445.1_2019-11-13	2III_C.2	2	2III	2III_C	2III_C.2	2III_C.2		
OQ821468.1_2022-08-18	2III_C.2	2	2III	2III_C	2III_C.2	2III_C.2		
OQ445887.1_2022-08-16	2III_C.2	2	2III	2III_C	2III_C.2	2III_C.2		
OQ821495.1_2014-02-09	2III_C.2	2	2III	2III_C	2III_C.2	2III_C.2		
OQ445894.1_2022-10-27	2III_C.2	2	2III	2III_C	2III_C.2	2III_C.2		
OQ445886.1_2022-08-17	2III_C.2	2	2III	2III_C	2III_C.2	2III_C.2		
FJ898461.1_2002	2III_D.1	2	2III	2III_D	2III_D.1	2III_D.1		
GQ868515.1_2007	2III_D.1	2	2III	2III_D	2III_D.1	2III_D.1		
GQ199895.1_1999	2III_D.1	2	2III	2III_D	2III_D.1	2III_D.1		
OQ445892.1_2022-09-27	2III_D.1	2	2III	2III_D	2III_D.1	2III_D.1		
OQ821483.1_2019-08-19	2III_D.1	2	2III	2III_D	2III_D.1	2III_D.1		
OQ821459.1_2022-06-28	2III_D.1	2	2III	2III_D	2III_D.1	2III_D.1		
MH781013.1_2012	2III_D.1	2	2III	2III_D	2III_D.1	2III_D.1		
MZ945533.1_2020-10-28	2III_D.1	2	2III	2III_D	2III_D.1	2III_D.1		
OQ445892.1_2022-09-27	2III_D.1.1	2	2III	2III_D	2III_D.1	2III_D.1		
OQ821459.1_2022-06-28	2III_D.1.1	2	2III	2III_D	2III_D.1	2III_D.1		
EU596500.1_2007	2III_D.1.1	2	2III	2III_D	2III_D.1	2III_D.1		
OQ821456.1_2022-06-20	2III_D.1.1	2	2III	2III_D	2III_D.1	2III_D.1		
GQ868604.1_2005	2III_D.1.1	2	2III	2III_D	2III_D.1	2III_D.1		
OQ821483.1_2019-08-19	2III_D.1.2	2	2III	2III_D	2III_D.1	2III_D.1		
OQ821497.1_2019-08-29	2III_D.1.2	2	2III	2III_D	2III_D.1	2III_D.1		
MZ945533.1_2020-10-28	2III_D.1.2	2	2III	2III_D	2III_D.1	2III_D.1		
OM505022.1_2021-09-21	2III_D.1.2	2	2III	2III_D	2III_D.1	2III_D.1		
OQ821485.1_2022-07-06	2III_D.1.2	2	2III	2III_D	2III_D.1	2III_D.1		
EU482635.1_2005	2III_D.1.3	2	2III	2III_D	2III_D.1	2III_D.1		
HQ705624.1_2009	2III_D.1.3	2	2III	2III_D	2III_D.1	2III_D.1		
EU482639.1_2006	2III_D.1.3	2	2III	2III_D	2III_D.1	2III_D.1		
FJ882594.1_2007	2III_D.1.3	2	2III	2III_D	2III_D.1	2III_D.1		
FJ906956.1_2005	2III_D.1.3	2	2III	2III_D	2III_D.1	2III_D.1		
ON510270.1_2021-05-10	2III_D.2	2	2III	2III_D	2III_D.2	2III_D.2		
ON714337.1_2015-01-29	2III_D.2	2	2III	2III_D	2III_D.2	2III_D.2		
MH069499.1_2015-09-22	2III_D.2	2	2III	2III_D	2III_D.2	2III_D.2		
GQ868558.1_2007	2III_D.2	2	2III	2III_D	2III_D.2	2III_D.2		
MZ773408.1_2019-09	2III_D.2	2	2III	2III_D	2III_D.2	2III_D.2		
MN462632.1_2015-10-04	2III_D.3	2	2III	2III_D	2III_D.3	2III_D.3		
KY474316.1_2014	2III_D.3	2	2III	2III_D	2III_D.3	2III_D.3		
EU482607.1_2007	2III_D.3	2	2III	2III_D	2III_D.3	2III_D.3		
MN462636.1_2015-05-27	2III_D.3	2	2III	2III_D	2III_D.3	2III_D.3		
KJ189305.1_2000	2III_D.3	2	2III	2III_D	2III_D.3	2III_D.3		
FM210237.2_2003	2III_A.1	2	2III	2III_A	2III_A.1	2III_A.1		
FM210217.1_1999	2III_A.1	2	2III	2III_A	2III_A.1	2III_A.1		
FM210236.2_2004	2III_A.1	2	2III	2III_A	2III_A.1	2III_A.1		
FM210222.1_2004	2III_A.1	2	2III	2III_A	2III_A.1	2III_A.1		
FM210235.2_2005	2III_A.1	2	2III	2III_A	2III_A.1	2III_A.1		
EU482449.1_2006	2III_A.2	2	2III	2III_A	2III_A.2	2III_A.2		
KY670633.1_1995-09	2III_A.2	2	2III	2III_A	2III_A.2	2III_A.2		
FM210202.1_2004	2III_A.2	2	2III	2III_A	2III_A.2	2III_A.2		
FM210204.1_2003	2III_A.2	2	2III	2III_A	2III_A.2	2III_A.2		
FM210227.1_2002	2III_A.2	2	2III	2III_A	2III_A.2	2III_A.2		
FM210241.2_2004	2III_A.2	2	2III	2III_A	2III_A.2	2III_A.2		
MW512447.1_2015	2II_F.1	2	2II	2II_F	2II_F.1	2II_F.1		
OP921000.1_2022-07-29	2II_F.1	2	2II	2II_F	2II_F.1	2II_F.1		
ON634755.1_2022-03-06	2II_F.1	2	2II	2II_F	2II_F.1	2II_F.1		
OP684201.1_2019-08-16	2II_F.1	2	2II	2II_F	2II_F.1	2II_F.1		
OP984834.1_2022-11-20	2II_F.1	2	2II	2II_F	2II_F.1	2II_F.1		
KX380818.1_2012	2II_F.1.1	2	2II	2II_F	2II_F.1	2II_F.1		
MW512416.1_2014	2II_F.1.1	2	2II	2II_F	2II_F.1	2II_F.1		
OP921000.1_2022-07-29	2II_F.1.1	2	2II	2II_F	2II_F.1	2II_F.1		
ON634755.1_2022-03-06	2II_F.1.1	2	2II	2II_F	2II_F.1	2II_F.1		
OP684201.1_2019-08-16	2II_F.1.1	2	2II	2II_F	2II_F.1	2II_F.1		
OP684196.1_2019-01-05	2II_F.1.1	2	2II	2II_F	2II_F.1	2II_F.1		
OP684180.1_2018-07-02	2II_F.1.1	2	2II	2II_F	2II_F.1	2II_F.1		
OL414749.1_2020-06	2II_F.1.1.1	2	2II	2II_F	2II_F.1	2II_F.1.1	1	
OL414764.1_2020-08	2II_F.1.1.1	2	2II	2II_F	2II_F.1	2II_F.1.1	1	
OL414732.1_2020-08	2II_F.1.1.1	2	2II	2II_F	2II_F.1	2II_F.1.1	1	
OL414755.1_2020-08	2II_F.1.1.1	2	2II	2II_F	2II_F.1	2II_F.1.1	1	
OL414754.1_2020-08	2II_F.1.1.1	2	2II	2II_F	2II_F.1	2II_F.1.1	1	
OM744143.1_2021-11-29	2II_F.1.1.2	2	2II	2II_F	2II_F.1	2II_F.1.2	2	
LC436675.1_2017-12	2II_F.1.1.2	2	2II	2II_F	2II_F.1	2II_F.1.2	2	
OP941834.1_2022-11-02	2II_F.1.1.2	2	2II	2II_F	2II_F.1	2II_F.1.2	2	
ON634745.1_2022-03-14	2II_F.1.1.2	2	2II	2II_F	2II_F.1	2II_F.1.2	2	
ON634755.1_2022-03-06	2II_F.1.1.2	2	2II	2II_F	2II_F.1	2II_F.1.2	2	
MW512403.1_2013	2II_F.1.2	2	2II	2II_F	2II_F.1	2II_F.1		
KX380808.1_2012	2II_F.1.2	2	2II	2II_F	2II_F.1	2II_F.1		
MW512366.1_2011	2II_F.1.2	2	2II	2II_F	2II_F.1	2II_F.1		
MW512400.1_2013	2II_F.1.2	2	2II	2II_F	2II_F.1	2II_F.1		
MN018356.1_2014-09-23	2II_F.1.2	2	2II	2II_F	2II_F.1	2II_F.1		
ON890422.1_2019-09-16	2II_F.2	2	2II	2II_F	2II_F.2	2II_F.2		
OQ028230.1_2020-09-07	2II_F.2	2	2II	2II_F	2II_F.2	2II_F.2		
MW512430.1_2014	2II_F.2	2	2II	2II_F	2II_F.2	2II_F.2		
KX380836.1_2013	2II_F.2	2	2II	2II_F	2II_F.2	2II_F.2		
MN018353.1_2016-06-15	2II_F.2	2	2II	2II_F	2II_F.2	2II_F.2		
MW512377.1_2012	2II_F.2	2	2II	2II_F	2II_F.2	2II_F.2		
MW730819.1_2017-07	2II_F.2.1	2	2II	2II_F	2II_F.2	2II_F.2		
KU517846.1_2014-05-07	2II_F.2.1	2	2II	2II_F	2II_F.2	2II_F.2		
MN018353.1_2016-06-15	2II_F.2.1	2	2II	2II_F	2II_F.2	2II_F.2		
MW512465.1_2016	2II_F.2.1	2	2II	2II_F	2II_F.2	2II_F.2		
MW512379.1_2012	2II_F.2.1	2	2II	2II_F	2II_F.2	2II_F.2		
MW730830.1_2017-07	2II_F.2.1	2	2II	2II_F	2II_F.2	2II_F.2		
KX380810.1_2012	2II_F.2.2	2	2II	2II_F	2II_F.2	2II_F.2		
KY921904.1_2014-03	2II_F.2.2	2	2II	2II_F	2II_F.2	2II_F.2		
KX380822.1_2012	2II_F.2.2	2	2II	2II_F	2II_F.2	2II_F.2		
KX380836.1_2013	2II_F.2.2	2	2II	2II_F	2II_F.2	2II_F.2		
MW512406.1_2013	2II_F.2.2	2	2II	2II_F	2II_F.2	2II_F.2		
JN851113.1_2006	2II_E.1	2	2II	2II_E	2II_E.1	2II_E.1		
MW512347.1_2007	2II_E.1	2	2II	2II_E	2II_E.1	2II_E.1		
KM279608.1_2010	2II_E.1	2	2II	2II_E	2II_E.1	2II_E.1		
KR779786.2_2013	2II_E.1	2	2II	2II_E	2II_E.1	2II_E.1		
KY586700.1_2009	2II_E.1	2	2II	2II_E	2II_E.1	2II_E.1		
MW512356.1_2009	2II_E.1	2	2II	2II_E	2II_E.1	2II_E.1		
KX380821.1_2012	2II_E.1	2	2II	2II_E	2II_E.1	2II_E.1		
KC762656.1_2007-12-11	2II_E.2	2	2II	2II_E	2II_E.2	2II_E.2		
KC762655.1_2007-09-27	2II_E.2	2	2II	2II_E	2II_E.2	2II_E.2		
MN018351.1_2015-05-17	2II_E.2	2	2II	2II_E	2II_E.2	2II_E.2		
OP684198.1_2019-01-20	2II_E.2	2	2II	2II_E	2II_E.2	2II_E.2		
KU517845.1_2013-04-23	2II_E.2	2	2II	2II_E	2II_E.2	2II_E.2		
MK564478.1_2016-04-22	2II_D.1	2	2II	2II_D	2II_D.1	2II_D.1		
KP012546.1_2014	2II_D.1	2	2II	2II_D	2II_D.1	2II_D.1		
MZ857214.1_2014	2II_D.1	2	2II	2II_D	2II_D.1	2II_D.1		
MZ857208.1_2013	2II_D.1	2	2II	2II_D	2II_D.1	2II_D.1		
MW512415.1_2014	2II_D.1	2	2II	2II_D	2II_D.1	2II_D.1		
MF043956.1_2016	2II_D.2	2	2II	2II_D	2II_D.2	2II_D.2		
KC762680.1_2010-04-05	2II_D.2	2	2II	2II_D	2II_D.2	2II_D.2		
MK783204.1_2018	2II_D.2	2	2II	2II_D	2II_D.2	2II_D.2		
JX470186.1_2010	2II_D.2	2	2II	2II_D	2II_D.2	2II_D.2		
ON890351.1_2017-08-07	2II_D.2	2	2II	2II_D	2II_D.2	2II_D.2		
KC762675.1_2008-03-08	2II_D.3	2	2II	2II_D	2II_D.3	2II_D.3		
MK564482.1_2017-08-07	2II_D.3	2	2II	2II_D	2II_D.3	2II_D.3		
MN018352.1_2015-09-07	2II_D.3	2	2II	2II_D	2II_D.3	2II_D.3		
KC762673.1_2008-03-11	2II_D.3	2	2II	2II_D	2II_D.3	2II_D.3		
MN018349.1_2015-05-09	2II_D.3	2	2II	2II_D	2II_D.3	2II_D.3		
MK783205.1_2018	2II_C.1	2	2II	2II_C	2II_C.1	2II_C.1		
KU509277.1_2010	2II_C.1	2	2II	2II_C	2II_C.1	2II_C.1		
KU509276.1_2008	2II_C.1	2	2II	2II_C	2II_C.1	2II_C.1		
MW512432.1_2014	2II_C.1	2	2II	2II_C	2II_C.1	2II_C.1		
MT832057.1_2015	2II_C.1	2	2II	2II_C	2II_C.1	2II_C.1		
MW881533.1_2021-02-02	2II_C.1	2	2II	2II_C	2II_C.1	2II_C.1		
MG599592.1_2001	2II_C.2	2	2II	2II_C	2II_C.2	2II_C.2		
KF744398.1_2005	2II_C.2	2	2II	2II_C	2II_C.2	2II_C.2		
MG599631.1_2002	2II_C.2	2	2II	2II_C	2II_C.2	2II_C.2		
MG599628.1_2002	2II_C.2	2	2II	2II_C	2II_C.2	2II_C.2		
MG599621.1_2002	2II_C.2	2	2II	2II_C	2II_C.2	2II_C.2		
MW512410.1_2014	2II_A.1	2	2II	2II_A	2II_A.1	2II_A.1		
OP684211.1_2019-10-19	2II_A.1	2	2II	2II_A	2II_A.1	2II_A.1		
KY937189.1_2015	2II_A.1	2	2II	2II_A	2II_A.1	2II_A.1		
KF041236.1_2008	2II_A.1	2	2II	2II_A	2II_A.1	2II_A.1		
KY937187.1_2015	2II_A.1	2	2II	2II_A	2II_A.1	2II_A.1		
ON123651.1_2020	2II_A.1.1	2	2II	2II_A	2II_A.1	2II_A.1		
KU509271.1_2006	2II_A.1.1	2	2II	2II_A	2II_A.1	2II_A.1		
OP684211.1_2019-10-19	2II_A.1.1	2	2II	2II_A	2II_A.1	2II_A.1		
KY937189.1_2015	2II_A.1.1	2	2II	2II_A	2II_A.1	2II_A.1		
ON123652.1_2020	2II_A.1.1	2	2II	2II_A	2II_A.1	2II_A.1		
KY937187.1_2015	2II_A.1.1	2	2II	2II_A	2II_A.1	2II_A.1		
MW946433.1_2007	2II_A.1.2	2	2II	2II_A	2II_A.1	2II_A.1		
GQ252676.1_2003	2II_A.1.2	2	2II	2II_A	2II_A.1	2II_A.1		
KJ830750.1_2014-01-13	2II_A.1.2	2	2II	2II_A	2II_A.1	2II_A.1		
KM217156.1_2011-08	2II_A.1.2	2	2II	2II_A	2II_A.1	2II_A.1		
GQ252677.1_2004	2II_A.1.2	2	2II	2II_A	2II_A.1	2II_A.1		
KF360005.1_2010-11-01	2II_A.1.2	2	2II	2II_A	2II_A.1	2II_A.1		
KJ010186.1_2013-10-02	2II_A.1.2	2	2II	2II_A	2II_A.1	2II_A.1		
OP310807.1_2019	2II_A.2	2	2II	2II_A	2II_A.2	2II_A.2		
MN577553.1_2017-06	2II_A.2	2	2II	2II_A	2II_A.2	2II_A.2		
MN577554.1_2017-06	2II_A.2	2	2II	2II_A	2II_A.2	2II_A.2		
MK783209.1_2018	2II_A.2	2	2II	2II_A	2II_A.2	2II_A.2		
ON123649.1_2020	2II_A.2	2	2II	2II_A	2II_A.2	2II_A.2		
LC367234.1_2009-10-08	2II_A.2.1	2	2II	2II_A	2II_A.2	2II_A.2		
MW512372.1_2012	2II_A.2.1	2	2II	2II_A	2II_A.2	2II_A.2		
OP310807.1_2019	2II_A.2.1	2	2II	2II_A	2II_A.2	2II_A.2		
OP310806.1_2018	2II_A.2.1	2	2II	2II_A	2II_A.2	2II_A.2		
MG560144.1_2014	2II_A.2.1	2	2II	2II_A	2II_A.2	2II_A.2		
MK783209.1_2018	2II_A.2.1	2	2II	2II_A	2II_A.2	2II_A.2		
ON123649.1_2020	2II_A.2.1	2	2II	2II_A	2II_A.2	2II_A.2		
MN577559.1_2013-04	2II_A.2.2	2	2II	2II_A	2II_A.2	2II_A.2		
MN577563.1_2013-05	2II_A.2.2	2	2II	2II_A	2II_A.2	2II_A.2		
MK473384.1_2016-05-04	2II_A.2.2	2	2II	2II_A	2II_A.2	2II_A.2		
MH456892.1_2014-10-17	2II_A.2.2	2	2II	2II_A	2II_A.2	2II_A.2		
KY427084.1_2010-09-01	2II_A.2.2	2	2II	2II_A	2II_A.2	2II_A.2		
MN577553.1_2017-06	2II_A.2.2	2	2II	2II_A	2II_A.2	2II_A.2		
MN577554.1_2017-06	2II_A.2.2	2	2II	2II_A	2II_A.2	2II_A.2		
MH822949.1_2014-10-28	2II_A.2.2	2	2II	2II_A	2II_A.2	2II_A.2		
MN577557.1_2017-07	2II_A.2.2	2	2II	2II_A	2II_A.2	2II_A.2		
KY921906.1_2015-06	3I_A.1	3	3I	3I_A	3I_A.1	3I_A.1		
MK894338.1_2018-02-05	3I_A.1	3	3I	3I_A	3I_A.1	3I_A.1		
MF682968.1_2016-09-10	3I_A.1	3	3I	3I_A	3I_A.1	3I_A.1		
OP410996.1_2019-11	3I_A.1	3	3I	3I_A	3I_A.1	3I_A.1		
OQ103317.1_2022-05-20	3I_A.1	3	3I	3I_A	3I_A.1	3I_A.1		
ON116130.1_2021-08	3I_A.2	3	3I	3I_A	3I_A.2	3I_A.2		
MN922035.1_2019-06-23	3I_A.2	3	3I	3I_A	3I_A.2	3I_A.2		
MN018377.1_2015-12-22	3I_A.2	3	3I	3I_A	3I_A.2	3I_A.2		
ON127534.1_2021-08	3I_A.2	3	3I	3I_A	3I_A.2	3I_A.2		
MW396463.1_2019-07-02	3I_A.2	3	3I	3I_A	3I_A.2	3I_A.2		
EU482462.1_2007	3II_A.1	3	3II	3II_A	3II_A.1	3II_A.1		
EU482456.1_2006	3II_A.1	3	3II	3II_A	3II_A.1	3II_A.1		
EU660411.1_2006	3II_A.1	3	3II	3II_A	3II_A.1	3II_A.1		
FJ432741.1_2007	3II_A.1	3	3II	3II_A	3II_A.1	3II_A.1		
OR389038.1_2004	3II_A.1	3	3II	3II_A	3II_A.1	3II_A.1		
EU482452.1_2006	3II_A.1	3	3II	3II_A	3II_A.1	3II_A.1		
MW946858.1_2005	3II_A.2	3	3II	3II_A	3II_A.2	3II_A.2		
JF295012.1_2007	3II_A.2	3	3II	3II_A	3II_A.2	3II_A.2		
KF955506.1_2007	3II_A.2	3	3II	3II_A	3II_A.2	3II_A.2		
HM631854.1_2008	3II_A.2	3	3II	3II_A	3II_A.2	3II_A.2		
FJ639715.1_2008	3II_A.2	3	3II	3II_A	3II_A.2	3II_A.2		
GU131903.1_2008	3II_A.2	3	3II	3II_A	3II_A.2	3II_A.2		
MW946622.1_2006	3II_A.3	3	3II	3II_A	3II_A.3	3II_A.3		
KY586706.1_2006	3II_A.3	3	3II	3II_A	3II_A.3	3II_A.3		
MW946820.1_2003	3II_A.3	3	3II	3II_A	3II_A.3	3II_A.3		
KY586704.1_2008	3II_A.3	3	3II	3II_A	3II_A.3	3II_A.3		
KY586702.1_2008	3II_A.3	3	3II	3II_A	3II_A.3	3II_A.3		
MW946718.1_2001	3II_A.4	3	3II	3II_A	3II_A.4	3II_A.4		
KY586724.1_2000	3II_A.4	3	3II	3II_A	3II_A.4	3II_A.4		
MW946863.1_2003	3II_A.4	3	3II	3II_A	3II_A.4	3II_A.4		
KY586721.1_2000	3II_A.4	3	3II	3II_A	3II_A.4	3II_A.4		
MW946651.1_1997	3II_A.4	3	3II	3II_A	3II_A.4	3II_A.4		
